,Title,URL,Year,Rating,Actors,Director
0,The Shawshank Redemption,http://www.imdb.com/title/tt0111161/,1994,9.2," Tim Robbins, Morgan Freeman",Frank Darabont 
1,The Godfather,http://www.imdb.com/title/tt0068646/,1972,9.2," Marlon Brando, Al Pacino",Francis Ford Coppola 
2,The Godfather: Part II,http://www.imdb.com/title/tt0071562/,1974,9.0," Al Pacino, Robert De Niro",Francis Ford Coppola 
3,The Dark Knight,http://www.imdb.com/title/tt0468569/,2008,9.0," Christian Bale, Heath Ledger",Christopher Nolan 
4,12 Angry Men,http://www.imdb.com/title/tt0050083/,1957,8.9," Henry Fonda, Lee J. Cobb",Sidney Lumet 
5,Schindler's List,http://www.imdb.com/title/tt0108052/,1993,8.9," Liam Neeson, Ralph Fiennes",Steven Spielberg 
6,The Lord of the Rings: The Return of the King,http://www.imdb.com/title/tt0167260/,2003,8.9," Elijah Wood, Viggo Mortensen",Peter Jackson 
7,Pulp Fiction,http://www.imdb.com/title/tt0110912/,1994,8.9," John Travolta, Uma Thurman",Quentin Tarantino 
8,"Il buono, il brutto, il cattivo",http://www.imdb.com/title/tt0060196/,1966,8.8," Clint Eastwood, Eli Wallach",Sergio Leone 
9,Fight Club,http://www.imdb.com/title/tt0137523/,1999,8.8," Brad Pitt, Edward Norton",David Fincher 
10,The Lord of the Rings: The Fellowship of the Ring,http://www.imdb.com/title/tt0120737/,2001,8.8," Elijah Wood, Ian McKellen",Peter Jackson 
11,Forrest Gump,http://www.imdb.com/title/tt0109830/,1994,8.7," Tom Hanks, Robin Wright",Robert Zemeckis 
12,Inception,http://www.imdb.com/title/tt1375666/,2010,8.7," Leonardo DiCaprio, Joseph Gordon-Levitt",Christopher Nolan 
13,Star Wars: Episode V - The Empire Strikes Back,http://www.imdb.com/title/tt0080684/,1980,8.7," Mark Hamill, Harrison Ford",Irvin Kershner 
14,The Lord of the Rings: The Two Towers,http://www.imdb.com/title/tt0167261/,2002,8.7," Elijah Wood, Ian McKellen",Peter Jackson 
15,One Flew Over the Cuckoo's Nest,http://www.imdb.com/title/tt0073486/,1975,8.7," Jack Nicholson, Louise Fletcher",Milos Forman 
16,Goodfellas,http://www.imdb.com/title/tt0099685/,1990,8.7," Robert De Niro, Ray Liotta",Martin Scorsese 
17,Avengers: Endgame,http://www.imdb.com/title/tt4154796/,2019,8.6," Robert Downey Jr., Chris Evans",Anthony Russo 
18,The Matrix,http://www.imdb.com/title/tt0133093/,1999,8.6," Keanu Reeves, Laurence Fishburne",Lana Wachowski 
19,Shichinin no samurai,http://www.imdb.com/title/tt0047478/,1954,8.6," Toshirô Mifune, Takashi Shimura",Akira Kurosawa 
20,Se7en,http://www.imdb.com/title/tt0114369/,1995,8.6," Morgan Freeman, Brad Pitt",David Fincher 
21,Cidade de Deus,http://www.imdb.com/title/tt0317248/,2002,8.6," Alexandre Rodrigues, Leandro Firmino",Fernando Meirelles 
22,Star Wars,http://www.imdb.com/title/tt0076759/,1977,8.6," Mark Hamill, Harrison Ford",George Lucas 
23,The Silence of the Lambs,http://www.imdb.com/title/tt0102926/,1991,8.6," Jodie Foster, Anthony Hopkins",Jonathan Demme 
24,It's a Wonderful Life,http://www.imdb.com/title/tt0038650/,1946,8.6," James Stewart, Donna Reed",Frank Capra 
25,La vita è bella,http://www.imdb.com/title/tt0118799/,1997,8.6," Roberto Benigni, Nicoletta Braschi",Roberto Benigni 
26,Sen to Chihiro no kamikakushi,http://www.imdb.com/title/tt0245429/,2001,8.5," Daveigh Chase, Suzanne Pleshette",Hayao Miyazaki 
27,Saving Private Ryan,http://www.imdb.com/title/tt0120815/,1998,8.5," Tom Hanks, Matt Damon",Steven Spielberg 
28,The Usual Suspects,http://www.imdb.com/title/tt0114814/,1995,8.5," Kevin Spacey, Gabriel Byrne",Bryan Singer 
29,Léon,http://www.imdb.com/title/tt0110413/,1994,8.5," Jean Reno, Gary Oldman",Luc Besson 
30,The Green Mile,http://www.imdb.com/title/tt0120689/,1999,8.5," Tom Hanks, Michael Clarke Duncan",Frank Darabont 
31,Interstellar,http://www.imdb.com/title/tt0816692/,2014,8.5," Matthew McConaughey, Anne Hathaway",Christopher Nolan 
32,Psycho,http://www.imdb.com/title/tt0054215/,1960,8.5," Anthony Perkins, Janet Leigh",Alfred Hitchcock 
33,American History X,http://www.imdb.com/title/tt0120586/,1998,8.5," Edward Norton, Edward Furlong",Tony Kaye 
